bulan,tahun,kode_trayek,trayek,jumlah_penumpang,jenis
Desember,2019,10B,RUSUN CIPINANG BESAR SELATAN - PENAS KALIMALANG,"9,983",ANGKUTAN UMUM INTEGRASI RUSUN
Januari,2019,11B,RUSUN RAWA BEBEK - PENGGILINGAN,7467,ANGKUTAN UMUM INTEGRASI RUSUN
Februari,2019,11B,RUSUN RAWA BEBEK - PENGGILINGAN,6766,ANGKUTAN UMUM INTEGRASI RUSUN
Maret,2019,11B,RUSUN RAWA BEBEK - PENGGILINGAN,7239,ANGKUTAN UMUM INTEGRASI RUSUN
April,2019,11B,RUSUN RAWA BEBEK - PENGGILINGAN,6666,ANGKUTAN UMUM INTEGRASI RUSUN
Mei ,2019,11B,RUSUN RAWA BEBEK - PENGGILINGAN,6.959,ANGKUTAN UMUM INTEGRASI RUSUN
Juni,2019,11B,RUSUN RAWA BEBEK - PENGGILINGAN,6.949,ANGKUTAN UMUM INTEGRASI RUSUN
Juli,2019,11B,RUSUN RAWA BEBEK - PENGGILINGAN,7.664,ANGKUTAN UMUM INTEGRASI RUSUN
Agustus,2019,11B,RUSUN RAWA BEBEK - PENGGILINGAN,7.583,ANGKUTAN UMUM INTEGRASI RUSUN
September,2019,11B,RUSUN RAWA BEBEK - PENGGILINGAN,6.19,ANGKUTAN UMUM INTEGRASI RUSUN
Oktober,2019,11B,RUSUN RAWA BEBEK - PENGGILINGAN,6.19,ANGKUTAN UMUM INTEGRASI RUSUN
November,2019,11B,RUSUN RAWA BEBEK - PENGGILINGAN,7.286,ANGKUTAN UMUM INTEGRASI RUSUN
Desember,2019,11B,RUSUN RAWA BEBEK - PENGGILINGAN,"7,948",ANGKUTAN UMUM INTEGRASI RUSUN
Januari,2019,11C,RUSUN PINUS ELOK - RUSUN PULO GEBANG,28216,ANGKUTAN UMUM INTEGRASI RUSUN
Februari,2019,11C,RUSUN PINUS ELOK - RUSUN PULO GEBANG,25633,ANGKUTAN UMUM INTEGRASI RUSUN
Maret,2019,11C,RUSUN PINUS ELOK - RUSUN PULO GEBANG,26966,ANGKUTAN UMUM INTEGRASI RUSUN
April,2019,11C,RUSUN PINUS ELOK - RUSUN PULO GEBANG,25414,ANGKUTAN UMUM INTEGRASI RUSUN
Mei ,2019,11C,RUSUN PINUS ELOK - RUSUN PULO GEBANG,26.259,ANGKUTAN UMUM INTEGRASI RUSUN
Juni,2019,11C,RUSUN PINUS ELOK - RUSUN PULO GEBANG,24.738,ANGKUTAN UMUM INTEGRASI RUSUN
Juli,2019,11C,RUSUN PINUS ELOK - RUSUN PULO GEBANG,30.112,ANGKUTAN UMUM INTEGRASI RUSUN
Agustus,2019,11C,RUSUN PINUS ELOK - RUSUN PULO GEBANG,32.328,ANGKUTAN UMUM INTEGRASI RUSUN
September,2019,11C,RUSUN PINUS ELOK - RUSUN PULO GEBANG,31.498,ANGKUTAN UMUM INTEGRASI RUSUN
Oktober,2019,11C,RUSUN PINUS ELOK - RUSUN PULO GEBANG,31.498,ANGKUTAN UMUM INTEGRASI RUSUN
November,2019,11C,RUSUN PINUS ELOK - RUSUN PULO GEBANG,32.259,ANGKUTAN UMUM INTEGRASI RUSUN
Desember,2019,11C,RUSUN PINUS ELOK - RUSUN PULO GEBANG,"32,127",ANGKUTAN UMUM INTEGRASI RUSUN
Januari,2019,11K,RUSUN KOMARUDIN - PENGGILINGAN,8079,ANGKUTAN UMUM INTEGRASI RUSUN
Februari,2019,11K,RUSUN KOMARUDIN - PENGGILINGAN,7823,ANGKUTAN UMUM INTEGRASI RUSUN
Maret,2019,11K,RUSUN KOMARUDIN - PENGGILINGAN,8345,ANGKUTAN UMUM INTEGRASI RUSUN
April,2019,11K,RUSUN KOMARUDIN - PENGGILINGAN,8432,ANGKUTAN UMUM INTEGRASI RUSUN
Mei ,2019,11K,RUSUN KOMARUDIN - PENGGILINGAN,8.352,ANGKUTAN UMUM INTEGRASI RUSUN
Juni,2019,11K,RUSUN KOMARUDIN - PENGGILINGAN,8.506,ANGKUTAN UMUM INTEGRASI RUSUN
Juli,2019,11K,RUSUN KOMARUDIN - PENGGILINGAN,8.068,ANGKUTAN UMUM INTEGRASI RUSUN
Agustus,2019,11K,RUSUN KOMARUDIN - PENGGILINGAN,8.449,ANGKUTAN UMUM INTEGRASI RUSUN
September,2019,11K,RUSUN KOMARUDIN - PENGGILINGAN,8.282,ANGKUTAN UMUM INTEGRASI RUSUN
Oktober,2019,11K,RUSUN KOMARUDIN - PENGGILINGAN,8.282,ANGKUTAN UMUM INTEGRASI RUSUN
November,2019,11K,RUSUN KOMARUDIN - PENGGILINGAN,8.797,ANGKUTAN UMUM INTEGRASI RUSUN
Desember,2019,11K,RUSUN KOMARUDIN - PENGGILINGAN,"3,801",ANGKUTAN UMUM INTEGRASI RUSUN
Januari,2019,11M,RUSUN RAWA BEBEK - BUKIT DURI,36469,ANGKUTAN UMUM INTEGRASI RUSUN
Februari,2019,11M,RUSUN RAWA BEBEK - BUKIT DURI,32138,ANGKUTAN UMUM INTEGRASI RUSUN
Maret,2019,11M,RUSUN RAWA BEBEK - BUKIT DURI,38567,ANGKUTAN UMUM INTEGRASI RUSUN
April,2019,11M,RUSUN RAWA BEBEK - BUKIT DURI,34202,ANGKUTAN UMUM INTEGRASI RUSUN
Mei ,2019,11M,RUSUN RAWA BEBEK - BUKIT DURI,33.042,ANGKUTAN UMUM INTEGRASI RUSUN
Juni,2019,11M,RUSUN RAWA BEBEK - BUKIT DURI,32.102,ANGKUTAN UMUM INTEGRASI RUSUN
Juli,2019,11M,RUSUN RAWA BEBEK - BUKIT DURI,38.165,ANGKUTAN UMUM INTEGRASI RUSUN
Agustus,2019,11M,RUSUN RAWA BEBEK - BUKIT DURI,39.215,ANGKUTAN UMUM INTEGRASI RUSUN
September,2019,11M,RUSUN RAWA BEBEK - BUKIT DURI,38.316,ANGKUTAN UMUM INTEGRASI RUSUN
Oktober,2019,11M,RUSUN RAWA BEBEK - BUKIT DURI,38.316,ANGKUTAN UMUM INTEGRASI RUSUN
November,2019,11M,RUSUN RAWA BEBEK - BUKIT DURI,44.193,ANGKUTAN UMUM INTEGRASI RUSUN
Desember,2019,11M,RUSUN RAWA BEBEK - BUKIT DURI,"47,716",ANGKUTAN UMUM INTEGRASI RUSUN
Januari,2019,11N,RUSUN CIPINANG MUARA - JATINEGARA,2863,ANGKUTAN UMUM INTEGRASI RUSUN
Februari,2019,11N,RUSUN CIPINANG MUARA - JATINEGARA,2433,ANGKUTAN UMUM INTEGRASI RUSUN
Maret,2019,11N,RUSUN CIPINANG MUARA - JATINEGARA,2921,ANGKUTAN UMUM INTEGRASI RUSUN
April,2019,11N,RUSUN CIPINANG MUARA - JATINEGARA,2979,ANGKUTAN UMUM INTEGRASI RUSUN
Mei ,2019,11N,RUSUN CIPINANG MUARA - JATINEGARA,3.263,ANGKUTAN UMUM INTEGRASI RUSUN
Juni,2019,11N,RUSUN CIPINANG MUARA - JATINEGARA,3.116,ANGKUTAN UMUM INTEGRASI RUSUN
Juli,2019,11N,RUSUN CIPINANG MUARA - JATINEGARA,3.431,ANGKUTAN UMUM INTEGRASI RUSUN
Agustus,2019,11N,RUSUN CIPINANG MUARA - JATINEGARA,3.493,ANGKUTAN UMUM INTEGRASI RUSUN
September,2019,11N,RUSUN CIPINANG MUARA - JATINEGARA,3.269,ANGKUTAN UMUM INTEGRASI RUSUN
Oktober,2019,11N,RUSUN CIPINANG MUARA - JATINEGARA,3.269,ANGKUTAN UMUM INTEGRASI RUSUN
November,2019,11N,RUSUN CIPINANG MUARA - JATINEGARA,3.377,ANGKUTAN UMUM INTEGRASI RUSUN
Desember,2019,11N,RUSUN CIPINANG MUARA - JATINEGARA,"3,113",ANGKUTAN UMUM INTEGRASI RUSUN
Januari,2019,11P,RUSUN PONDOK BAMBU - RADIN INTEN,3118,ANGKUTAN UMUM INTEGRASI RUSUN
Februari,2019,11P,RUSUN PONDOK BAMBU - WALIKOTA JAKARTA TIMUR,2646,ANGKUTAN UMUM INTEGRASI RUSUN
Maret,2019,11P,RUSUN PONDOK BAMBU - WALIKOTA JAKARTA TIMUR,2866,ANGKUTAN UMUM INTEGRASI RUSUN
April,2019,11P,RUSUN PONDOK BAMBU - WALIKOTA JAKARTA TIMUR,3185,ANGKUTAN UMUM INTEGRASI RUSUN
Mei ,2019,11P,RUSUN PONDOK BAMBU - WALIKOTA JAKARTA TIMUR,2.9,ANGKUTAN UMUM INTEGRASI RUSUN
Juni,2019,11P,RUSUN PONDOK BAMBU - WALIKOTA JAKARTA TIMUR,2.895,ANGKUTAN UMUM INTEGRASI RUSUN
Juli,2019,11P,RUSUN PONDOK BAMBU - WALIKOTA JAKARTA TIMUR,3.304,ANGKUTAN UMUM INTEGRASI RUSUN
Agustus,2019,11P,RUSUN PONDOK BAMBU - WALIKOTA JAKARTA TIMUR,3.544,ANGKUTAN UMUM INTEGRASI RUSUN
September,2019,11P,RUSUN PONDOK BAMBU - WALIKOTA JAKARTA TIMUR,3.279,ANGKUTAN UMUM INTEGRASI RUSUN
Oktober,2019,11P,RUSUN PONDOK BAMBU - WALIKOTA JAKARTA TIMUR,3.279,ANGKUTAN UMUM INTEGRASI RUSUN
November,2019,11P,RUSUN PONDOK BAMBU - WALIKOTA JAKARTA TIMUR,3.854,ANGKUTAN UMUM INTEGRASI RUSUN
Desember,2019,11P,RUSUN PONDOK BAMBU - WALIKOTA JAKARTA TIMUR,"3,586",ANGKUTAN UMUM INTEGRASI RUSUN
Januari,2019,11R,RUSUN CAKUNG KM 2 - BUKIT DURI,6416,ANGKUTAN UMUM INTEGRASI RUSUN
Februari,2019,11R,RUSUN CAKUNG KM 2 - BUKIT DURI,6189,ANGKUTAN UMUM INTEGRASI RUSUN
Maret,2019,11R,RUSUN CAKUNG KM 2 - BUKIT DURI,7447,ANGKUTAN UMUM INTEGRASI RUSUN
April,2019,11R,RUSUN CAKUNG KM 2 - BUKIT DURI,7406,ANGKUTAN UMUM INTEGRASI RUSUN
Mei ,2019,11R,RUSUN CAKUNG KM 2 - BUKIT DURI,7.649,ANGKUTAN UMUM INTEGRASI RUSUN
Juni,2019,11R,RUSUN CAKUNG KM 2 - BUKIT DURI,7.086,ANGKUTAN UMUM INTEGRASI RUSUN
Juli,2019,11R,RUSUN CAKUNG KM 2 - BUKIT DURI,8.406,ANGKUTAN UMUM INTEGRASI RUSUN
Agustus,2019,11R,RUSUN CAKUNG KM 2 - BUKIT DURI,8.167,ANGKUTAN UMUM INTEGRASI RUSUN
September,2019,11R,RUSUN CAKUNG KM 2 - BUKIT DURI,7.014,ANGKUTAN UMUM INTEGRASI RUSUN
Oktober,2019,11R,RUSUN CAKUNG KM 2 - BUKIT DURI,7.014,ANGKUTAN UMUM INTEGRASI RUSUN
November,2019,11R,RUSUN CAKUNG KM 2 - BUKIT DURI,7.105,ANGKUTAN UMUM INTEGRASI RUSUN
Desember,2019,11R,RUSUN CAKUNG KM 2 - BUKIT DURI,"7,627",ANGKUTAN UMUM INTEGRASI RUSUN
Januari,2019,12C,RUSUN WADUK PLUIT- PENJARINGAN,8828,ANGKUTAN UMUM INTEGRASI RUSUN
Februari,2019,12C,RUSUN WADUK PLUIT- PENJARINGAN,7635,ANGKUTAN UMUM INTEGRASI RUSUN
Maret,2019,12C,RUSUN WADUK PLUIT- PENJARINGAN,8807,ANGKUTAN UMUM INTEGRASI RUSUN
April,2019,12C,RUSUN WADUK PLUIT- PENJARINGAN,9074,ANGKUTAN UMUM INTEGRASI RUSUN
Mei ,2019,12C,RUSUN WADUK PLUIT- PENJARINGAN,9.647,ANGKUTAN UMUM INTEGRASI RUSUN
Juni,2019,12C,RUSUN WADUK PLUIT- PENJARINGAN,9.599,ANGKUTAN UMUM INTEGRASI RUSUN
Juli,2019,12C,RUSUN WADUK PLUIT- PENJARINGAN,9.943,ANGKUTAN UMUM INTEGRASI RUSUN
Agustus,2019,12C,RUSUN WADUK PLUIT- PENJARINGAN,9.473,ANGKUTAN UMUM INTEGRASI RUSUN
September,2019,12C,RUSUN WADUK PLUIT- PENJARINGAN,8.968,ANGKUTAN UMUM INTEGRASI RUSUN
Oktober,2019,12C,RUSUN WADUK PLUIT- PENJARINGAN,8.968,ANGKUTAN UMUM INTEGRASI RUSUN
November,2019,12C,RUSUN WADUK PLUIT- PENJARINGAN,9.653,ANGKUTAN UMUM INTEGRASI RUSUN
Desember,2019,12C,RUSUN WADUK PLUIT- PENJARINGAN,"5,759",ANGKUTAN UMUM INTEGRASI RUSUN
Januari,2019,12D,RUSUN SUKAPURA - SUNTER (VIA KELAPA GADING),7146,ANGKUTAN UMUM INTEGRASI RUSUN
Maret,2019,12D,RUSUN SUKAPURA - SUNTER (VIA KELAPA GADING),7467,ANGKUTAN UMUM INTEGRASI RUSUN
April,2019,12D,RUSUN SUKAPURA - SUNTER (VIA KELAPA GADING),7279,ANGKUTAN UMUM INTEGRASI RUSUN
Mei ,2019,12D,RUSUN SUKAPURA - SUNTER (VIA KELAPA GADING),7.328,ANGKUTAN UMUM INTEGRASI RUSUN
Juni,2019,12D,RUSUN SUKAPURA - SUNTER (VIA KELAPA GADING),7.176,ANGKUTAN UMUM INTEGRASI RUSUN
Juli,2019,12D,RUSUN SUKAPURA - SUNTER (VIA KELAPA GADING),8.03,ANGKUTAN UMUM INTEGRASI RUSUN
Agustus,2019,12D,RUSUN SUKAPURA - SUNTER (VIA KELAPA GADING),9.183,ANGKUTAN UMUM INTEGRASI RUSUN
September,2019,12D,RUSUN SUKAPURA - SUNTER (VIA KELAPA GADING),11.419,ANGKUTAN UMUM INTEGRASI RUSUN
Oktober,2019,12D,RUSUN SUKAPURA - SUNTER (VIA KELAPA GADING),11.419,ANGKUTAN UMUM INTEGRASI RUSUN
November,2019,12D,RUSUN SUKAPURA - SUNTER (VIA KELAPA GADING),12.748,ANGKUTAN UMUM INTEGRASI RUSUN
Desember,2019,12D,RUSUN SUKAPURA - SUNTER (VIA KELAPA GADING),"12,83",ANGKUTAN UMUM INTEGRASI RUSUN
Januari,2019,12F,RUSUN MARUNDA - RUSUN WADUK PLUIT,26118,ANGKUTAN UMUM INTEGRASI RUSUN
Maret,2019,12F,RUSUN MARUNDA - RUSUN WADUK PLUIT,26661,ANGKUTAN UMUM INTEGRASI RUSUN
April,2019,12F,RUSUN MARUNDA - RUSUN WADUK PLUIT,25.37,ANGKUTAN UMUM INTEGRASI RUSUN
Mei ,2019,12F,RUSUN MARUNDA - RUSUN WADUK PLUIT,24.434,ANGKUTAN UMUM INTEGRASI RUSUN
Juni,2019,12F,RUSUN MARUNDA - RUSUN WADUK PLUIT,24.175,ANGKUTAN UMUM INTEGRASI RUSUN
Juli,2019,12F,RUSUN MARUNDA - RUSUN WADUK PLUIT,30.363,ANGKUTAN UMUM INTEGRASI RUSUN
Agustus,2019,12F,RUSUN MARUNDA - RUSUN WADUK PLUIT,27.73,ANGKUTAN UMUM INTEGRASI RUSUN
September,2019,12F,RUSUN MARUNDA - RUSUN WADUK PLUIT,30.419,ANGKUTAN UMUM INTEGRASI RUSUN
Oktober,2019,12F,RUSUN MARUNDA - RUSUN WADUK PLUIT,30.419,ANGKUTAN UMUM INTEGRASI RUSUN
November,2019,12F,RUSUN MARUNDA - RUSUN WADUK PLUIT,28.408,ANGKUTAN UMUM INTEGRASI RUSUN
Desember,2019,12F,RUSUN MARUNDA - RUSUN WADUK PLUIT,"30,497",ANGKUTAN UMUM INTEGRASI RUSUN
Januari,2019,12H,RUSUN PENJARINGAN - PENJARINGAN,4925,ANGKUTAN UMUM INTEGRASI RUSUN
Maret,2019,12H,RUSUN PENJARINGAN - PENJARINGAN,4576,ANGKUTAN UMUM INTEGRASI RUSUN
April,2019,12H,RUSUN PENJARINGAN - PENJARINGAN,4572,ANGKUTAN UMUM INTEGRASI RUSUN
Mei ,2019,12H,RUSUN PENJARINGAN - PENJARINGAN,4.727,ANGKUTAN UMUM INTEGRASI RUSUN
Juni,2019,12H,RUSUN PENJARINGAN - PENJARINGAN,4.985,ANGKUTAN UMUM INTEGRASI RUSUN
Juli,2019,12H,RUSUN PENJARINGAN - PENJARINGAN,6.028,ANGKUTAN UMUM INTEGRASI RUSUN
Agustus,2019,12H,RUSUN PENJARINGAN - PENJARINGAN,5.905,ANGKUTAN UMUM INTEGRASI RUSUN
September,2019,12H,RUSUN PENJARINGAN - PENJARINGAN,6.683,ANGKUTAN UMUM INTEGRASI RUSUN
Oktober,2019,12H,RUSUN PENJARINGAN - PENJARINGAN,6.683,ANGKUTAN UMUM INTEGRASI RUSUN
November,2019,12H,RUSUN PENJARINGAN - PENJARINGAN,7.62,ANGKUTAN UMUM INTEGRASI RUSUN
Desember,2019,12H,RUSUN PENJARINGAN - PENJARINGAN,"8,049",ANGKUTAN UMUM INTEGRASI RUSUN
Februari,2019,BW5,WISATA KALIJODO,22235,ANGKUTAN UMUM INTEGRASI RUSUN
Februari,2019,BW6,MAKAM MBAH PRIUK,3059,ANGKUTAN UMUM INTEGRASI RUSUN
Februari,2019,BW7,JAKARTA SHOPING MALL,7059,ANGKUTAN UMUM INTEGRASI RUSUN
Januari,2019,JAK-1,TANJUNG PRIOK-PLUMPANG,56764, ANGKUTAN INTEGRASI BUS KECIL 
April,2019,JAK-1,TANJUNG PRIOK-PLUMPANG,58337, ANGKUTAN INTEGRASI BUS KECIL 
Mei ,2019,JAK-1,TANJUNG PRIOK-PLUMPANG,62.72, ANGKUTAN INTEGRASI BUS KECIL 
Juni,2019,JAK-1,TANJUNG PRIOK-PLUMPANG,59.509, ANGKUTAN INTEGRASI BUS KECIL 
Juli,2019,JAK-1,TANJUNG PRIOK-PLUMPANG,73.638, ANGKUTAN INTEGRASI BUS KECIL 
Agustus,2019,JAK-1,TANJUNG PRIOK-PLUMPANG,82.802, ANGKUTAN INTEGRASI BUS KECIL 
September,2019,JAK-1,TANJUNG PRIOK - PLUMPANG,94.884, ANGKUTAN INTEGRASI BUS KECIL 
Oktober,2019,JAK-1,TANJUNG PRIOK - PLUMPANG,94.884, ANGKUTAN INTEGRASI BUS KECIL 
November,2019,JAK-1,TANJUNG PRIOK - PLUMPANG,105.862, ANGKUTAN INTEGRASI BUS KECIL 
Desember,2019,JAK-1,TANJUNG PRIOK - PLUMPANG,"101,923", ANGKUTAN INTEGRASI BUS KECIL 
Januari,2019,JAK-2,DUREN SAWIT - KAMPUNG MELAYU,56551, ANGKUTAN INTEGRASI BUS KECIL 
April,2019,JAK-2,DUREN SAWIT - KAMPUNG MELAYU,55925, ANGKUTAN INTEGRASI BUS KECIL 
Mei ,2019,JAK-2,DUREN SAWIT - KAMPUNG MELAYU,57.778, ANGKUTAN INTEGRASI BUS KECIL 
Juni,2019,JAK-2,DUREN SAWIT - KAMPUNG MELAYU,52.939, ANGKUTAN INTEGRASI BUS KECIL 
Juli,2019,JAK-2,DUREN SAWIT - KAMPUNG MELAYU,69.157, ANGKUTAN INTEGRASI BUS KECIL 
Agustus,2019,JAK-2,DUREN SAWIT - KAMPUNG MELAYU,76.717, ANGKUTAN INTEGRASI BUS KECIL 
September,2019,JAK-2,KAMPUNG MELAYU - DUREN SAWIT,78.887, ANGKUTAN INTEGRASI BUS KECIL 
Oktober,2019,JAK-2,KAMPUNG MELAYU - DUREN SAWIT,78.887, ANGKUTAN INTEGRASI BUS KECIL 
November,2019,JAK-2,KAMPUNG MELAYU - DUREN SAWIT,83.589, ANGKUTAN INTEGRASI BUS KECIL 
Desember,2019,JAK-2,KAMPUNG MELAYU - DUREN SAWIT,"80,934", ANGKUTAN INTEGRASI BUS KECIL 
Januari,2019,JAK-3,LEBAK BULUS - PONDOK LABU,43344, ANGKUTAN INTEGRASI BUS KECIL 
Februari,2019,JAK-3,LEBAK BULUS - PONDOK LABU,42.41, ANGKUTAN INTEGRASI BUS KECIL 
April,2019,JAK-3,LEBAK BULUS - PONDOK LABU,53128, ANGKUTAN INTEGRASI BUS KECIL 
Mei ,2019,JAK-3,LEBAK BULUS - PONDOK LABU,56.8, ANGKUTAN INTEGRASI BUS KECIL 
Juni,2019,JAK-3,LEBAK BULUS - PONDOK LABU,50.101, ANGKUTAN INTEGRASI BUS KECIL 
Juli,2019,JAK-3,LEBAK BULUS - PONDOK LABU,60.997, ANGKUTAN INTEGRASI BUS KECIL 
Agustus,2019,JAK-3,LEBAK BULUS - PONDOK LABU,67.283, ANGKUTAN INTEGRASI BUS KECIL 
September,2019,JAK-3,LEBAK BULUS - PONDOK LABU,74.315, ANGKUTAN INTEGRASI BUS KECIL 
Oktober,2019,JAK-3,LEBAK BULUS - PONDOK LABU,74.315, ANGKUTAN INTEGRASI BUS KECIL 
November,2019,JAK-3,LEBAK BULUS - PONDOK LABU,82.792, ANGKUTAN INTEGRASI BUS KECIL 
Desember,2019,JAK-3,LEBAK BULUS - PONDOK LABU,"77,369", ANGKUTAN INTEGRASI BUS KECIL 
Januari,2019,JAK-4,GROGOL - TUBAGUS ANGKE,51852, ANGKUTAN INTEGRASI BUS KECIL 
Februari,2019,JAK-4,GROGOL - TUBAGUS ANGKE,53607, ANGKUTAN INTEGRASI BUS KECIL 
April,2019,JAK-4,GROGOL - TUBAGUS ANGKE,61.1, ANGKUTAN INTEGRASI BUS KECIL 
Mei ,2019,JAK-4,GROGOL - TUBAGUS ANGKE,63.854, ANGKUTAN INTEGRASI BUS KECIL 
Juni,2019,JAK-4,GROGOL - TUBAGUS ANGKE,55.423, ANGKUTAN INTEGRASI BUS KECIL 
Juli,2019,JAK-4,GROGOL - TUBAGUS ANGKE,69.392, ANGKUTAN INTEGRASI BUS KECIL 
Agustus,2019,JAK-4,GROGOL - TUBAGUS ANGKE,70.301, ANGKUTAN INTEGRASI BUS KECIL 
September,2019,JAK-4,GROGOL - JEMBATAN DUA,69.606, ANGKUTAN INTEGRASI BUS KECIL 
Oktober,2019,JAK-4,GROGOL - JEMBATAN DUA,69.606, ANGKUTAN INTEGRASI BUS KECIL 
November,2019,JAK-4,GROGOL - JEMBATAN DUA,68.926, ANGKUTAN INTEGRASI BUS KECIL 
Desember,2019,JAK-4,GROGOL - JEMBATAN DUA,"67,328", ANGKUTAN INTEGRASI BUS KECIL 
Januari,2019,JAK-5,SEMPER - ROROTAN,64763, ANGKUTAN INTEGRASI BUS KECIL 
Februari,2019,JAK-5,SEMPER - ROROTAN,75574, ANGKUTAN INTEGRASI BUS KECIL 
Maret,2019,JAK-5,SEMPER - ROROTAN,86417, ANGKUTAN INTEGRASI BUS KECIL 
April,2019,JAK-5,SEMPER - ROROTAN,81507, ANGKUTAN INTEGRASI BUS KECIL 
Mei ,2019,JAK-5,SEMPER - ROROTAN,81.998, ANGKUTAN INTEGRASI BUS KECIL 
Juni,2019,JAK-5,SEMPER - ROROTAN,76.122, ANGKUTAN INTEGRASI BUS KECIL 
Juli,2019,JAK-5,SEMPER - ROROTAN,95.59, ANGKUTAN INTEGRASI BUS KECIL 
Agustus,2019,JAK-5,SEMPER - ROROTAN,104.156, ANGKUTAN INTEGRASI BUS KECIL 
September,2019,JAK-5,SEMPER - ROROTAN,111.26, ANGKUTAN INTEGRASI BUS KECIL 
Oktober,2019,JAK-5,SEMPER - ROROTAN,111.26, ANGKUTAN INTEGRASI BUS KECIL 
November,2019,JAK-5,SEMPER - ROROTAN,117.59, ANGKUTAN INTEGRASI BUS KECIL 
Desember,2019,JAK-5,SEMPER - ROROTAN,"119,052", ANGKUTAN INTEGRASI BUS KECIL 
Januari,2019,JAK-6,KAMPUNG RAMBUTAN - PONDOK GEDE,54469, ANGKUTAN INTEGRASI BUS KECIL 
Februari,2019,JAK-6,KAMPUNG RAMBUTAN - PONDOK GEDE,63508, ANGKUTAN INTEGRASI BUS KECIL 
Maret,2019,JAK-6,KAMPUNG RAMBUTAN - PONDOK GEDE,78927, ANGKUTAN INTEGRASI BUS KECIL 
April,2019,JAK-6,KAMPUNG RAMBUTAN - PONDOK GEDE,72412, ANGKUTAN INTEGRASI BUS KECIL 
Mei ,2019,JAK-6,KAMPUNG RAMBUTAN - PONDOK GEDE,71.967, ANGKUTAN INTEGRASI BUS KECIL 
Juni,2019,JAK-6,KAMPUNG RAMBUTAN - PONDOK GEDE,72.582, ANGKUTAN INTEGRASI BUS KECIL 
Juli,2019,JAK-6,KAMPUNG RAMBUTAN - PONDOK GEDE,95.576, ANGKUTAN INTEGRASI BUS KECIL 
Agustus,2019,JAK-6,KAMPUNG RAMBUTAN - PONDOK GEDE,105.893, ANGKUTAN INTEGRASI BUS KECIL 
September,2019,JAK-6,KAMPUNG RAMBUTAN - PONDOK GEDE,116.468, ANGKUTAN INTEGRASI BUS KECIL 
Oktober,2019,JAK-6,KAMPUNG RAMBUTAN - PONDOK GEDE,116.468, ANGKUTAN INTEGRASI BUS KECIL 
November,2019,JAK-6,KAMPUNG RAMBUTAN - PONDOK GEDE,130.11, ANGKUTAN INTEGRASI BUS KECIL 
Desember,2019,JAK-6,KAMPUNG RAMBUTAN - PONDOK GEDE,"127,045", ANGKUTAN INTEGRASI BUS KECIL 
Januari,2019,JAK-7,TANAH ABANG-TAWAKAL,78.27, ANGKUTAN INTEGRASI BUS KECIL 
Februari,2019,JAK-7,TANAH ABANG-TAWAKAL,79468, ANGKUTAN INTEGRASI BUS KECIL 
Maret,2019,JAK-7,TANAH ABANG-TAWAKAL,74.65, ANGKUTAN INTEGRASI BUS KECIL 
April,2019,JAK-7,TANAH ABANG-TAWAKAL,69964, ANGKUTAN INTEGRASI BUS KECIL 
Mei ,2019,JAK-7,TANAH ABANG-TAWAKAL,67.292, ANGKUTAN INTEGRASI BUS KECIL 
Juni,2019,JAK-7,TANAH ABANG-TAWAKAL,58.706, ANGKUTAN INTEGRASI BUS KECIL 
Juli,2019,JAK-7,TANAH ABANG-TAWAKAL,79.495, ANGKUTAN INTEGRASI BUS KECIL 
Agustus,2019,JAK-7,TANAH ABANG-TAWAKAL,75.979, ANGKUTAN INTEGRASI BUS KECIL 
September,2019,JAK-7,TANAH ABANG - TAWAKAL,80.757, ANGKUTAN INTEGRASI BUS KECIL 
Oktober,2019,JAK-7,TANAH ABANG - TAWAKAL,80.757, ANGKUTAN INTEGRASI BUS KECIL 
November,2019,JAK-7,TANAH ABANG - TAWAKAL,89.118, ANGKUTAN INTEGRASI BUS KECIL 
Desember,2019,JAK-7,TANAH ABANG - TAWAKAL,"87,101", ANGKUTAN INTEGRASI BUS KECIL 
Agustus,2019,JAK-8,ROXI - BENDUNGAN HILIR,9.039, ANGKUTAN INTEGRASI BUS KECIL 
September,2019,JAK-8,ROXY - BENDUNGAN HILIR,17.147, ANGKUTAN INTEGRASI BUS KECIL 
Oktober,2019,JAK-8,ROXY - BENDUNGAN HILIR,17.147, ANGKUTAN INTEGRASI BUS KECIL 
November,2019,JAK-8,ROXY - BENDUNGAN HILIR,16.725, ANGKUTAN INTEGRASI BUS KECIL 
Desember,2019,JAK-8,ROXY - BENDUNGAN HILIR,"23,796", ANGKUTAN INTEGRASI BUS KECIL 
Oktober,2019,JAK-9,ROXY KARET,0, ANGKUTAN INTEGRASI BUS KECIL 
November,2019,JAK-9,ROXY KARET,2.094, ANGKUTAN INTEGRASI BUS KECIL 
Desember,2019,JAK-9,ROXY KARET,"14,795", ANGKUTAN INTEGRASI BUS KECIL 
Januari,2019,JAK-10,TANAH ABANG-KOTA,0, ANGKUTAN INTEGRASI BUS KECIL 
Februari,2019,JAK-10,TANAH ABANG-KOTA,6025, ANGKUTAN INTEGRASI BUS KECIL 
Maret,2019,JAK-10,TANAH ABANG-KOTA,7539, ANGKUTAN INTEGRASI BUS KECIL 
April,2019,JAK-10,TANAH ABANG-KOTA,7358, ANGKUTAN INTEGRASI BUS KECIL 
